Persons|νονά|godmother|n(f,,)
Persons|νονός|godfather|n(m,,)
Persons|εγγονός|grandchild / grandson|n(m,,)
Persons|εγγονή|granddaughter|n(f,,)
Persons|γιαγιά|grandmother|n(f,,άδες)
Persons|παππούς|grandfather|n(m,,ούδες)
Persons|φίλος|friend|n(m,,)
Persons|πρόσωπο|face|n(n,,)
Persons|μάτι|eye|n(n,,)
Persons|μαλλί|hair|n(n,,)
Persons|μύτη|nose|n(f,,)
Persons|χέρι|arm / hand|n(n,,)
Persons|αυτί|ear|n(n,,)
Persons|χείλος|lip|n(n,,)
Persons|στόμα|mouth|n(n,,)
Persons|πόδι|foot / leg|n(n,,)
Persons|νέος|young / new|a
Persons|χοντρός|fat|a
Persons|αδύνατος|thin|a
Persons|όμορφος|beautiful / handsome / pretty|a
Persons|άσχημος|ugly / nasty|a
Persons|κοντός|short|a
Persons|μελαχρινός|dart-haired|a
Persons|ψηλός|tall|a
Persons|αδύναμος|weak / powerless|a
Persons|δυνατός|strong / powerful|a
Persons|βρώμικος|dirty|a
Persons|καθαρός|clean / clear|a
Expression|ναι|yes|
Expression|όχι|no|
Expression|γεια|Hello / Bye|
Expression|γεια σου|Hello (to one person)|
Expression|γεια σας|Hello (to multiple persons / formal)|
Expression|Χαίρετε|Hello|
Expression|θα ήθελα|I would like|
Expression|παρακαλώ|please|
Expression|ευχαριστώ|Thank you|
Expression|πώς είσαι|How are you (singular)|
Expression|με συγχωρείτε|Excuse me|
Expression|συγγνώμη|Sorry / Excuse me|
Expression|καλημέρα|Good morning / Good day|
Expression|καλησπέρα|Good afternoon|
Expression|Καληνύχτα|Good night|
Expression|τα λέμε|See you|
Expression|χάρηκα|Nice to meet you|
Expression|με λένε|My name is|
Expression|ορίστε|Here you are|
Expression|αντίο|Goodbye|
Expression|Πώς σε λένε|What is your name|
Expression|εντάξει|Alright / OK|
Expression|μου αρέσει το παγωτό|I like the ice cream|
Expression|βρέχει|It rains|v
Expression|χιονίζει|It snows|v
Other|μίνι μάρκετ|mini market|n(n,,)
Other|βάζο|vase|n(n,,)
Other|βίντεο|video|n(n,,)
Other|μουσείο|museum|n(n,,)
Other|σινεμά|cinema|n(n,,)
Other|ντίσκο|disco|n(f,,)
Other|χολ|hall|n(f,s,)
Other|τηλέφωνο|phone|n(n,,)
Other|εφημερίδα|newspaper|n(f,,)
Other|βιβλίο|book|n(n,,)
Other|ελληνικά|Greek|
Other|αγγλικά|English|
Other|γαλλικά|French|
Other|ολλανδικά|Dutch|
Other|Ευρώπη|Europe|
Other|Ελλάδα|Greece|
Other|Βέλγιο|Belgium|
Other|Βέλγος|Belgian|n(m,,)
Other|Βελγίδα|Belgian|n(f,,)
Other|ερώτηση|question|n(f,,)
Other|απάντηση|answer|n(f,,)
Other|τώρα|now|
Other|χρώμα|colour|n(n,,)
Other|καιρός|weather / time|n(m,,)
Other|ήλιος|sun|n(m,,)
Other|ομίχλη|fog|n(f,,)
Other|αέρας|wind|n(m,,)
Other|χρονών|years old|
Conjunctions|και|and|
Conjunctions|σε|to|
Conjunctions|στο / στον|to the / in the|
Conjunctions|με|with|
Conjunctions|πολύ|a lot of / very much|
Conjunctions|δεν|not / do not|
Conjunctions|λίγο|a bit of / a little|
Conjunctions|από|from|
Conjunctions|δικός / δική / δικό|own (my, your, …)|
Conjunctions|τι|what|
Conjunctions|πότε|when|
Conjunctions|γιατί|why / because|
Conjunctions|πού|where|
Conjunctions|πως|how|
Conjunctions|πόσο / πόσα|how many / how much|
Conjunctions|ποιος|who / which / what (male)|
Conjunctions|τίνος|whose|
Conjunctions|ποιανού|whose (male/neutral owner)|
Conjunctions|ποιανής|whose (female owner)|
Conjunctions|ποιανών|whose (many owners)|
Conjunctions|όλοι|all|
Conjunctions|εκείνος|that|
Conjunctions|ανάμεσα (σε)|among / between|
Conjunctions|για|for|
Conjunctions|σαν|like|
Conjunctions|δίπλα (σε)|next to / near by|
Conjunctions|μέσα (σε)|inside / into / in|
Conjunctions|πίσω (από)|behind|
Conjunctions|εξαιτίας|because of / due to|
Conjunctions|όπως|like / as / such as|
Conjunctions|έξω (από)|out / outside|
Conjunctions|πάνω (από)|on / over / on top of|
Conjunctions|χωρίς|without|
Conjunctions|κάτω (σε)|down|
Conjunctions|μετά (από)|after / then|
Conjunctions|μεταξύ|between|
Conjunctions|αντί (για)|instead|
Conjunctions|προς|towards / to|
Conjunctions|κατά|against / by / according|
Conjunctions|λόγω|because / due to / because of / the reason behind|
Conjunctions|εκτός (από)|except|
Conjunctions|κοντά (σε)|nearby / close to|
Adjectives|ροζ|pink|a
Adjectives|μεγάλο|big / tall|a
Adjectives|μικρό|little / tiny / small|a
Adjectives|καλά|fine / well / good|a
Adjectives|νόστιμος|tasty / delicious|a
Adjectives|φρέσκο|fresh|a
Adjectives|μάλλινος|woolen|a
Adjectives|δερμάτινος|leather|a
Adjectives|μαύρο|black|a
Adjectives|καφέ|brown|a
Adjectives|πορτοκαλί|orange|a
Adjectives|πράσινο|green|a
Adjectives|γαλάζιο|light blue|a
Adjectives|μπλε|blue|a
Adjectives|μοβ|purple|a
Adjectives|Λευκό / άσπρο|white|a
Adjectives|Κόκκινο / ερυθρό|red|a
Adjectives|γκρι|grey|a
Adjectives|κίτρινο|yellow|a
Adjectives|πολύχρωμος|multi;colored|a
Adjectives|ασπρόμαυρος|black and white|a
Adjectives|ανοιχρός κόκκινο|light red|a
Adjectives|βαθύ μπλε|deep blue|a
Adjectives|σκούρο πράσινο|dark green|a
Adjectives|κρύο|cold|a
Adjectives|σιννεφιά|cloudy|a
Adjectives|ζέστη|Heat / hot|a
Animals|ζώο|animal|n(n,,)
Animals|κατοικίδιο|pet|n(n,,)
Animals|κουτάβι|puppy|n(n,,)
Animals|πουλί|bird|n(n,,)
Animals|κότα|chicken|n(f,,)
Animals|πάπια|duck|n(f,,)
Animals|πελεκάνος|pelican|n(m,,)
Animals|αετός|eagle|n(m,,)
Animals|θηλαστικό|mammal|n(n,,)
Animals|γάτα|cat|n(f,,)
Animals|άλογο|horse|n(n,,)
Animals|σκύλος|dog|n(m,,)
Animals|αρκούδα|bear|n(f,,)
Animals|ποντίκι|mouse|n(n,,)
Animals|πίθηκος|ape|n(m,,)
Animals|καμήλα|camel|n(f,,)
Animals|καμηλοπάρδαλη|giraffe|n(f,,)
Animals|χάμστερ|hamster|n(n,,)
Animals|λιονδάκι|lion|n(n,,)
Animals|λαγός|hare|n(m,,)
Animals|αλεπού|fox|n(f,,)
Animals|λύκος|wolf|n(m,,)
Animals|τίγρης|tiger|n(f,,)
Animals|ζέβρα|zebra|n(f,,)
Animals|ερπετό|reptile|n(n,,)
Animals|φίδι|snake|n(n,,)
Animals|χελώνα|turtle|n(f,,)
Animals|έντομο|insect|n(n,,)
Animals|πεταλούδα|butterfly|n(f,,)
Animals|καβούρι|crab|n(n,,)
Animals|αράχνη|spider|n(f,,)
Clothes|καπέλο|hat |n(n,,)
Clothes|φούστα|skirt|n(f,,)
Clothes|πουκάμισο|shirt|n(n,,)
Clothes|γάντι|glove|n(n,,)
Clothes|γραβάτα|tie|n(f,,)
Clothes|φόρεμα|dress|n(n,,)
Clothes|παπούτσι|shoe|n(n,,)
Clothes|παντελόνι|pants|n(n,,)
Clothes|παλτό|coat|n(n,,)
Clothes|ρούχο|piece of clothing|n(n,s,)
