Food|S1U10|πάγος|ice|n(m,,)
Adjectives|S1U10|φρέσκο|fresh|a
Food|S1U10|φρέσκο|fresh|a
Food|S1U10|μπισκότο|biscuit / cookie|n(n,,)
Food|S1U10|γλυκό|sweet|n(n,,)
Food|S2U6|συνταγή|recipe / formula|n(f,,)
Persons|S1U5|μαμά|mum|n(f,,άδες)
Persons|S1U5|μπαμπάς|dad|n(m,s,)
Persons|S1U3|άντρας|man|n(m,,)
Persons|S1U3|γυναίκα|woman|n(f,,)
Persons|S1U3|αρχιτέκτονας|architect|n(m,,)
Persons|S1U6|κορίτσι|girl|n(n,,)
Persons|S1U6|αγόρι|boy|n(n,,)
Persons|S1U6|παιδί|child|n(n,,)
Persons|S1U11|μητέρα|mother|n(f,,)
Persons|S1U11|πατέρας|father|n(m,,)
Persons|S1U11|γονιός|parent|n(m,,)
Persons|S1U11|μωρό|baby|n(n,,)
Persons|S1U11|αδελφός|brother|n(m,,)
Persons|S1U11|αδελφή|sister|n(f,,)
Persons|S1U11|αδέρφια|siblings|n(n,pl,)
Persons|S1U11|γιος|son|n(m,,)
Persons|S1U11|κόρη|daughter|n(f,,)
Persons|S1U11|θείος|oncle|n(m,,)
Persons|S1U11|θεία|aunt|n(f,,)
Persons|S1U11|σύζυγος (m)|husband|n(m,,)
Persons|S1U11|σύζυγος (f)|wife|n(f,,)
Persons|S1U11|οικογένεια|family|n(f,,)
Persons|S1U11|συγγενής|relative|n(m,,)
Persons|S1U11|γάμος|marriage|n(m,,)
Persons|S1U11|ξάδερφος|cousin|n(m,,)
Persons|S1U11|ξαδέρφη|cousine|n(f,,)
Persons|S1U11|νονά|godmother|n(f,,)
Persons|S1U11|νονός|godfather|n(m,,)
Persons|S1U11|εγγονός|grandchild / grandson|n(m,,)
Persons|S1U11|εγγονή|granddaughter|n(f,,)
Persons|S1U11|γιαγιά|grandmother|n(f,,άδες)
Persons|S1U11|παππούς|grandfather|n(m,,ούδες)
